frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
004063,     7,      6,  0.82,   0.63,     0.61,     0.58,     1.03
004063,     8,      7,  0.84,   0.44,     0.40,     0.38,     1.11
004064,     0,      4,  0.85,   0.31,     0.27,     0.27,     1.16
004064,     2,      1,  0.04,   0.57,     0.35,     0.03,     1.64
004065,    14,      2,  0.55,   0.60,     0.40,     0.37,     1.51
004083,     0,      1,  0.61,   0.44,     0.39,     0.40,     1.15
004083,     3,      3,  0.83,   0.41,     0.34,     0.34,     1.20
004091,     2,      3,  0.78,   0.63,     0.55,     0.53,     1.15
004095,     4,      4,  0.78,   0.70,     0.64,     0.64,     1.09
004095,     5,      6,  0.86,   0.70,     0.62,     0.63,     1.12
004096,     3,      5,  0.75,   0.59,     0.54,     0.49,     1.08
004096,     4,      4,  0.84,   0.51,     0.45,     0.43,     1.13
004100,     0,      5,  0.96,   0.29,     0.27,     0.27,     1.08
004100,     6,      3,  0.83,   0.58,     0.58,     0.53,     1.01
004100,     9,      4,  0.86,   0.75,     0.67,     0.66,     1.12
004101,     0,      0,  0.82,   0.68,     0.67,     0.65,     1.02
004104,     1,      0,  0.80,   0.54,     0.56,     0.48,     0.96
004107,     2,      0,  0.90,   0.68,     0.64,     0.63,     1.06
004107,     3,      2,  0.87,   0.73,     0.61,     0.58,     1.20
004108,     0,      2,  0.84,   0.35,     0.29,     0.27,     1.18
004109,     0,      0,  0.70,   0.59,     0.59,     0.57,     1.01
004118,     5,      6,  0.63,   0.40,     0.37,     0.35,     1.08
004118,     6,      5,  0.78,   0.72,     0.67,     0.67,     1.07
004122,     7,      6,  0.69,   0.69,     0.66,     0.57,     1.04
004124,     2,      1,  0.67,   0.50,     0.36,     0.35,     1.38
004131,     0,     -1,  0.00,   0.00,     0.27,     0.00,     0.00
004131,     1,      0,  0.89,   0.61,     0.52,     0.52,     1.18
004138,     0,      4,  0.92,   0.34,     0.31,     0.31,     1.08
004138,     9,     -1,  0.00,   0.00,     0.66,     0.00,     0.00
004148,     6,      5,  0.97,   0.56,     0.51,     0.51,     1.10
004148,     7,     10,  0.92,   0.26,     0.20,     0.19,     1.30
004153,     0,      0,  0.73,   0.25,     0.23,     0.22,     1.11
004154,     6,      7,  0.77,   0.70,     0.63,     0.58,     1.12
004154,     7,      9,  0.85,   0.58,     0.53,     0.48,     1.09
004155,     4,      8,  0.87,   0.44,     0.37,     0.37,     1.19
004156,     5,      4,  0.90,   0.66,     0.62,     0.62,     1.06
004156,     7,      7,  0.93,   0.49,     0.45,     0.45,     1.08
004157,     3,      3,  0.88,   0.72,     0.68,     0.68,     1.06
